time_s,current_A,heat_per_cell_W
678.0390,0.0000,0.0000
678.4892,0.0000,0.0000
678.9395,0.0000,0.0000
679.3897,0.0000,0.0000
679.8399,0.0000,0.0000
680.2901,0.0000,0.0000
680.7404,0.0000,0.0000
681.1906,0.0000,0.0000
681.6408,0.0000,0.0000
682.0910,0.0000,0.0000
682.5413,0.0000,0.0000
682.9915,0.0000,0.0000
683.4417,0.0000,0.0000
683.8919,0.0000,0.0000
684.3422,0.0000,0.0000
684.7924,0.0000,0.0000
685.2426,0.0000,0.0000
685.6928,0.0000,0.0000
686.1431,0.0000,0.0000
686.5933,0.0000,0.0000
687.0435,0.0000,0.0000
687.4937,0.0000,0.0000
687.9440,0.0000,0.0000
688.3942,0.0000,0.0000
688.8444,0.0000,0.0000
689.2946,0.0000,0.0000
689.7449,0.0000,0.0000
690.1951,0.0000,0.0000
690.6453,0.0000,0.0000
691.0955,0.0000,0.0000
691.5458,0.0000,0.0000
691.9960,0.0000,0.0000
692.4462,0.0000,0.0000
692.8964,0.0000,0.0000
693.3467,0.0000,0.0000
693.7969,0.0000,0.0000
694.2471,0.0000,0.0000
694.6973,0.0000,0.0000
695.1476,0.0000,0.0000
695.5978,0.0000,0.0000
696.0480,0.0000,0.0000
696.4982,0.0000,0.0000
696.9485,0.0000,0.0000
697.3987,0.0000,0.0000
697.8489,0.0000,0.0000
698.2991,0.0000,0.0000
698.7494,0.0000,0.0000
699.1996,0.0000,0.0000
699.6498,0.0000,0.0000
700.1001,0.0000,0.0000
700.5503,0.0000,0.0000
701.0005,0.0000,0.0000
701.4507,0.0000,0.0000
701.9010,0.0000,0.0000
702.3512,0.0000,0.0000
702.8014,0.0000,0.0000
703.2516,0.0000,0.0000
703.7019,0.0000,0.0000
704.1521,0.0000,0.0000
704.6023,0.0000,0.0000
705.0525,0.0000,0.0000
705.5028,0.0000,0.0000
705.9530,0.0000,0.0000
706.4032,0.0000,0.0000
706.8534,0.0000,0.0000
707.3037,0.0000,0.0000
707.7539,0.0000,0.0000
708.2041,0.0000,0.0000
708.6543,0.0000,0.0000
709.1046,0.0000,0.0000
709.5548,0.0000,0.0000
710.0050,0.0000,0.0000
710.4552,0.0000,0.0000
710.9055,0.0000,0.0000
711.3557,0.0000,0.0000
711.8059,0.0000,0.0000
712.2561,0.0000,0.0000
712.7064,0.0000,0.0000
713.1566,0.0000,0.0000
713.6068,0.0000,0.0000
714.0570,0.0000,0.0000
714.5073,0.0000,0.0000
714.9575,0.0000,0.0000
715.4077,0.0000,0.0000
715.8579,0.0000,0.0000
716.3082,0.0000,0.0000
716.7584,0.0000,0.0000
717.2086,0.0000,0.0000
717.6588,0.0000,0.0000
718.1091,0.0000,0.0000
718.5593,0.0000,0.0000
719.0095,0.0000,0.0000
719.4597,0.0000,0.0000
719.9100,0.0000,0.0000
720.3602,0.0000,0.0000
720.8104,0.0000,0.0000
721.2606,0.0000,0.0000
721.7109,0.0000,0.0000
722.1611,0.0000,0.0000
722.6113,0.0000,0.0000
723.0615,0.0000,0.0000
723.5118,0.0000,0.0000
723.9620,0.0000,0.0000
724.4122,0.0000,0.0000
724.8624,0.0000,0.0000
725.3127,0.0000,0.0000
725.7629,0.0000,0.0000
726.2131,0.0000,0.0000
726.6633,0.0000,0.0000
727.1136,0.0000,0.0000
727.5638,0.0000,0.0000
728.0140,0.0000,0.0000
728.4642,0.0000,0.0000
728.9145,0.0000,0.0000
729.3647,0.0000,0.0000
729.8149,0.0000,0.0000
730.2651,0.0000,0.0000
730.7154,0.0000,0.0000
731.1656,0.0000,0.0000
731.6158,0.0000,0.0000
732.0660,0.0000,0.0000
732.5163,0.0000,0.0000
732.9665,0.0000,0.0000
733.4167,0.0000,0.0000
733.8669,0.0000,0.0000
734.3172,0.0000,0.0000
734.7674,0.0000,0.0000
735.2176,0.0000,0.0000
735.6678,0.0000,0.0000
736.1181,0.0000,0.0000
736.5683,0.0000,0.0000
737.0185,0.0000,0.0000
737.4687,0.0000,0.0000
737.9190,0.0000,0.0000
738.3692,0.0000,0.0000
738.8194,0.0000,0.0000
739.2696,0.0000,0.0000
739.7199,0.0000,0.0000
740.1701,0.0000,0.0000
740.6203,0.0000,0.0000
741.0705,0.0000,0.0000
741.5208,0.0000,0.0000
741.9710,0.0000,0.0000
742.4212,0.0000,0.0000
742.8714,0.0000,0.0000
743.3217,0.0000,0.0000
743.7719,0.0000,0.0000
744.2221,0.0000,0.0000
744.6723,0.0000,0.0000
745.1226,0.0000,0.0000
745.5728,0.0000,0.0000
746.0230,0.0000,0.0000
746.4732,0.0000,0.0000
746.9235,0.0000,0.0000
747.3737,0.0000,0.0000
747.8239,0.0000,0.0000
748.2741,0.0000,0.0000
748.7244,0.0000,0.0000
749.1746,0.0000,0.0000
749.6248,0.0000,0.0000
750.0750,0.0000,0.0000
750.5253,0.0000,0.0000
750.9755,0.0000,0.0000
751.4257,0.0000,0.0000
751.8759,0.0000,0.0000
752.3262,0.0000,0.0000
752.7764,0.0000,0.0000
753.2266,0.0000,0.0000
753.6768,0.0000,0.0000
754.1271,0.0000,0.0000
754.5773,0.0000,0.0000
755.0275,0.0000,0.0000
755.4777,0.0000,0.0000
755.9280,0.0000,0.0000
756.3782,0.0000,0.0000
756.8284,0.0000,0.0000
757.2786,0.0000,0.0000
757.7289,0.0000,0.0000
758.1791,0.0000,0.0000
758.6293,0.0000,0.0000
759.0795,0.0000,0.0000
759.5298,0.0000,0.0000
759.9800,0.0000,0.0000
760.4302,0.0000,0.0000
760.8804,0.0000,0.0000
761.3307,0.0000,0.0000
761.7809,0.0000,0.0000
762.2311,0.0000,0.0000
762.6813,0.0000,0.0000
763.1316,0.0000,0.0000
763.5818,0.0000,0.0000
764.0320,0.0000,0.0000
764.4822,0.0000,0.0000
764.9325,0.0000,0.0000
765.3827,0.0000,0.0000
765.8329,0.0000,0.0000
766.2831,0.0000,0.0000
766.7334,0.0000,0.0000
767.1836,0.0000,0.0000
767.6338,0.0000,0.0000
768.0840,0.0000,0.0000
768.5343,0.0000,0.0000
768.9845,0.0000,0.0000
769.4347,0.0000,0.0000
769.8849,0.0000,0.0000
770.3352,0.0000,0.0000
770.7854,0.0000,0.0000
771.2356,0.0000,0.0000
771.6858,0.0000,0.0000
772.1361,0.0000,0.0000
772.5863,0.0000,0.0000
773.0365,0.0000,0.0000
773.4867,0.0000,0.0000
773.9370,0.0000,0.0000
774.3872,0.0000,0.0000
774.8374,0.0000,0.0000
775.2876,0.0000,0.0000
775.7379,0.0000,0.0000
776.1881,0.0000,0.0000
776.6383,0.0000,0.0000
777.0885,0.0000,0.0000
777.5388,0.0000,0.0000
777.9890,0.0000,0.0000
778.4392,0.0000,0.0000
778.8894,0.0000,0.0000
779.3397,0.0000,0.0000
779.7899,0.0000,0.0000
780.2401,0.0000,0.0000
780.6903,0.0000,0.0000
781.1406,0.0000,0.0000
781.5908,0.0000,0.0000
782.0410,0.0000,0.0000
782.4912,0.0000,0.0000
782.9415,0.0000,0.0000
783.3917,0.0000,0.0000
783.8419,0.0000,0.0000
784.2921,0.0000,0.0000
784.7424,0.0000,0.0000
785.1926,0.0000,0.0000
785.6428,0.0000,0.0000
786.0930,0.0000,0.0000
786.5433,0.0000,0.0000
786.9935,0.0000,0.0000
787.4437,0.0000,0.0000
787.8939,0.0000,0.0000
788.3442,0.0000,0.0000
788.7944,0.0000,0.0000
789.2446,0.0000,0.0000
789.6948,0.0000,0.0000
790.1451,0.0000,0.0000
790.5953,0.0000,0.0000
791.0455,0.0000,0.0000
791.4957,0.0000,0.0000
791.9460,0.0000,0.0000
792.3962,0.0000,0.0000
792.8464,0.0000,0.0000
793.2966,0.0000,0.0000
793.7469,0.0000,0.0000
794.1971,0.0000,0.0000
794.6473,0.0000,0.0000
795.0975,0.0000,0.0000
795.5478,0.0000,0.0000
795.9980,0.0000,0.0000
796.4482,0.0000,0.0000
796.8984,0.0000,0.0000
797.3487,0.0000,0.0000
797.7989,0.0000,0.0000
798.2491,0.0000,0.0000
798.6993,0.0000,0.0000
799.1496,0.0000,0.0000
799.5998,0.0000,0.0000
800.0500,0.0000,0.0000
800.5003,0.0000,0.0000
800.9505,0.0000,0.0000
801.4007,0.0000,0.0000
801.8509,0.0000,0.0000
802.3012,0.0000,0.0000
802.7514,0.0000,0.0000
803.2016,0.0000,0.0000
803.6518,0.0000,0.0000
804.1021,0.0000,0.0000
804.5523,0.0000,0.0000
805.0025,0.0000,0.0000
805.4527,0.0000,0.0000
805.9030,0.0000,0.0000
806.3532,0.0000,0.0000
806.8034,0.0000,0.0000
807.2536,0.0000,0.0000
807.7039,0.0000,0.0000
808.1541,0.0000,0.0000
808.6043,0.0000,0.0000
809.0545,0.0000,0.0000
809.5048,0.0000,0.0000
809.9550,0.0000,0.0000
810.4052,0.0000,0.0000
810.8554,0.0000,0.0000
811.3057,0.0000,0.0000
811.7559,0.0000,0.0000
812.2061,0.0000,0.0000
812.6563,0.0000,0.0000
813.1066,0.0000,0.0000
813.5568,0.0000,0.0000
814.0070,0.0000,0.0000
814.4572,0.0000,0.0000
814.9075,0.0000,0.0000
815.3577,0.0000,0.0000
815.8079,0.0000,0.0000
816.2581,0.0000,0.0000
816.7084,0.0000,0.0000
817.1586,0.0000,0.0000
817.6088,0.0000,0.0000
818.0590,0.0000,0.0000
818.5093,0.0000,0.0000
818.9595,0.0000,0.0000
819.4097,0.0000,0.0000
819.8599,0.0000,0.0000
820.3102,0.0000,0.0000
820.7604,0.0000,0.0000
821.2106,0.0000,0.0000
821.6608,0.0000,0.0000
822.1111,0.0000,0.0000
822.5613,0.0000,0.0000
823.0115,0.0000,0.0000
823.4617,0.0000,0.0000
823.9120,0.0000,0.0000
824.3622,0.0000,0.0000
824.8124,0.0000,0.0000
825.2626,0.0000,0.0000
825.7129,0.0000,0.0000
826.1631,0.0000,0.0000
826.6133,0.0000,0.0000
827.0635,0.0000,0.0000
827.5138,0.0000,0.0000
827.9640,0.0000,0.0000
828.4142,0.0000,0.0000
828.8644,0.0000,0.0000
829.3147,0.0000,0.0000
829.7649,0.0000,0.0000
830.2151,0.0000,0.0000
830.6653,0.0000,0.0000
831.1156,0.0000,0.0000
831.5658,0.0000,0.0000
832.0160,0.0000,0.0000
832.4662,0.0000,0.0000
832.9165,0.0000,0.0000
833.3667,0.0000,0.0000
833.8169,0.0000,0.0000
834.2671,0.0000,0.0000
834.7174,0.0000,0.0000
835.1676,0.0000,0.0000
835.6178,0.0000,0.0000
836.0680,0.0000,0.0000
